locus_tag	ftype	length_bp	gene	EC_number	COG	product
GFPBCAKN_00861	CDS	249				hypothetical protein
GFPBCAKN_00862	CDS	276				hypothetical protein
GFPBCAKN_00863	CDS	225				hypothetical protein
GFPBCAKN_00864	CDS	168				hypothetical protein
GFPBCAKN_00865	CDS	3366				hypothetical protein
GFPBCAKN_00866	CDS	558				hypothetical protein
GFPBCAKN_00867	CDS	804	nlpA		COG1464	Lipoprotein 28
GFPBCAKN_00868	CDS	258				hypothetical protein
GFPBCAKN_00869	CDS	330				hypothetical protein
GFPBCAKN_00870	CDS	1242	ampH	3.4.-.-	COG1680	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
GFPBCAKN_00871	CDS	1152				hypothetical protein
GFPBCAKN_00872	CDS	519	mug	3.2.2.28	COG3663	G/U mismatch-specific DNA glycosylase
GFPBCAKN_00873	CDS	1845	rpoD		COG0568	RNA polymerase sigma factor RpoD
GFPBCAKN_00874	CDS	1746	dnaG	2.7.7.-	COG0358	DNA primase
GFPBCAKN_00875	CDS	216	rpsU		COG0828	30S ribosomal protein S21
GFPBCAKN_00876	CDS	1014	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
GFPBCAKN_00877	CDS	618	plsY	2.3.1.15	COG0344	putative glycerol-3-phosphate acyltransferase
GFPBCAKN_00878	CDS	360	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
GFPBCAKN_00879	CDS	822	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
GFPBCAKN_00880	CDS	1227	cca		COG0617	Multifunctional CCA protein
GFPBCAKN_00881	CDS	621				hypothetical protein
GFPBCAKN_00882	CDS	1305	ygiF	3.6.1.25	COG3025	Inorganic triphosphatase
GFPBCAKN_00883	CDS	2835	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
GFPBCAKN_00884	CDS	120				hypothetical protein
GFPBCAKN_00885	CDS	1437	hldE		COG2870	Bifunctional protein HldE
GFPBCAKN_00886	CDS	285	ubiK		COG2960	Ubiquinone biosynthesis accessory factor UbiK
GFPBCAKN_00887	CDS	657	ribB	4.1.99.12	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase
GFPBCAKN_00888	CDS	903	ygiD	1.13.11.29	COG3384	4,5-DOPA dioxygenase extradiol
GFPBCAKN_00889	CDS	1161	ygiC	6.3.1.-	COG0754	Putative acid--amine ligase YgiC
GFPBCAKN_00890	CDS	672				hypothetical protein
GFPBCAKN_00891	CDS	1461	tolC_1			Outer membrane protein TolC
GFPBCAKN_00892	CDS	639	nudF	3.6.1.13		ADP-ribose pyrophosphatase
GFPBCAKN_00893	CDS	423				hypothetical protein
GFPBCAKN_00894	CDS	828	cpdA	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
GFPBCAKN_00895	CDS	579				hypothetical protein
GFPBCAKN_00896	CDS	1896	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
GFPBCAKN_00897	CDS	756	lgrE	1.1.-.-		Linear gramicidin dehydrogenase LgrE
GFPBCAKN_00898	CDS	630				hypothetical protein
GFPBCAKN_00899	CDS	753	crnA	3.5.2.10		Creatinine amidohydrolase
GFPBCAKN_00900	CDS	885	pyrD_2	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
GFPBCAKN_00901	CDS	489				hypothetical protein
GFPBCAKN_00902	CDS	1680	hemL_1	5.4.3.8		Glutamate-1-semialdehyde 2,1-aminomutase
GFPBCAKN_00903	CDS	1674	pksJ_1		COG0318	Polyketide synthase PksJ
GFPBCAKN_00904	CDS	3801				hypothetical protein
GFPBCAKN_00905	CDS	3285	pksJ_2		COG0318	Polyketide synthase PksJ
GFPBCAKN_00906	CDS	5205				hypothetical protein
GFPBCAKN_00907	CDS	5181				hypothetical protein
GFPBCAKN_00908	CDS	1269				hypothetical protein
GFPBCAKN_00909	CDS	1497	smvA			Methyl viologen resistance protein SmvA
GFPBCAKN_00910	CDS	240				hypothetical protein
GFPBCAKN_00911	CDS	339				hypothetical protein
GFPBCAKN_00912	CDS	771	pheC			Cyclohexadienyl dehydratase
GFPBCAKN_00913	CDS	2277	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
GFPBCAKN_00914	CDS	738	plsC	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
GFPBCAKN_00915	CDS	1425	ftsP		COG2132	Cell division protein FtsP
GFPBCAKN_00916	CDS	825	dkgA	1.1.1.274	COG0656	2,5-diketo-D-gluconic acid reductase A
GFPBCAKN_00917	CDS	885	rhaS_2			HTH-type transcriptional activator RhaS
GFPBCAKN_00918	CDS	1392	dat	2.6.1.76	COG0160	Diaminobutyrate--2-oxoglutarate aminotransferase
GFPBCAKN_00919	CDS	1473	ddc_1	4.1.1.86	COG0076	L-2,4-diaminobutyrate decarboxylase
GFPBCAKN_00920	CDS	657	yghB		COG0586	Inner membrane protein YghB
GFPBCAKN_00921	CDS	1194	metC	4.4.1.13	COG0626	Cystathionine beta-lyase MetC
GFPBCAKN_00922	CDS	735	exbB		COG0811	Biopolymer transport protein ExbB
GFPBCAKN_00923	CDS	423	exbD		COG0848	Biopolymer transport protein ExbD
GFPBCAKN_00924	CDS	1323	proP_1			Proline/betaine transporter
GFPBCAKN_00925	CDS	894	yghA	1.-.-.-		putative oxidoreductase YghA
GFPBCAKN_00926	CDS	795				hypothetical protein
GFPBCAKN_00927	CDS	2271	caf1A		COG3188	F1 capsule-anchoring protein
GFPBCAKN_00928	CDS	720				hypothetical protein
GFPBCAKN_00929	CDS	528				hypothetical protein
GFPBCAKN_00930	CDS	567				hypothetical protein
GFPBCAKN_00931	CDS	1413	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
GFPBCAKN_00932	CDS	483	ylaC			Inner membrane protein YlaC
GFPBCAKN_00933	CDS	993				hypothetical protein
GFPBCAKN_00934	CDS	459				hypothetical protein
GFPBCAKN_00935	CDS	906				hypothetical protein
GFPBCAKN_00936	CDS	1269				hypothetical protein
GFPBCAKN_00937	CDS	1131				hypothetical protein
GFPBCAKN_00938	CDS	516	ftnA	1.16.3.2	COG1528	Bacterial non-heme ferritin
GFPBCAKN_00939	CDS	135				hypothetical protein
GFPBCAKN_00940	CDS	159				hypothetical protein
GFPBCAKN_00941	CDS	552	dsbB_2			Disulfide bond formation protein B
GFPBCAKN_00942	CDS	777				hypothetical protein
GFPBCAKN_00943	CDS	1764	ggt_1	3.4.19.13		Glutathione hydrolase proenzyme
GFPBCAKN_00944	CDS	1434	bglA	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglA
GFPBCAKN_00945	CDS	1428	bglC	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglC
GFPBCAKN_00946	CDS	327	chbA		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
GFPBCAKN_00947	CDS	1320	licC		COG1455	Lichenan permease IIC component
GFPBCAKN_00948	CDS	324	celA	2.7.1.205		PTS system cellobiose-specific EIIB component
GFPBCAKN_00949	CDS	1023	ascG		COG1609	HTH-type transcriptional regulator AscG
GFPBCAKN_00950	CDS	1296	codB		COG1457	Cytosine permease
GFPBCAKN_00951	CDS	681				hypothetical protein
GFPBCAKN_00952	CDS	255				hypothetical protein
GFPBCAKN_00953	CDS	333				hypothetical protein
GFPBCAKN_00954	CDS	486	decR_1		COG1522	DNA-binding transcriptional activator DecR
GFPBCAKN_00955	CDS	117				hypothetical protein
GFPBCAKN_00956	CDS	897	yddG		COG0697	Aromatic amino acid exporter YddG
GFPBCAKN_00957	CDS	330	mdtI		COG2076	Spermidine export protein MdtI
GFPBCAKN_00958	CDS	345	mdtJ		COG2076	Spermidine export protein MdtJ
GFPBCAKN_00959	CDS	1695	btsS	2.7.13.3	COG3275	Sensor histidine kinase BtsS
GFPBCAKN_00960	CDS	720	btsR		COG3279	Transcriptional regulatory protein BtsR
GFPBCAKN_00961	CDS	204				hypothetical protein
GFPBCAKN_00962	CDS	2214	btsT		COG1966	Pyruvate/proton symporter BtsT
GFPBCAKN_00963	CDS	894	ampR			HTH-type transcriptional activator AmpR
GFPBCAKN_00964	CDS	1218	ampC	3.5.2.6	COG1680	Beta-lactamase
GFPBCAKN_00965	CDS	447	ivy			Inhibitor of vertebrate lysozyme
GFPBCAKN_00966	CDS	462				hypothetical protein
GFPBCAKN_00967	CDS	282				hypothetical protein
GFPBCAKN_00968	CDS	2145				hypothetical protein
GFPBCAKN_00969	CDS	1101	strB1	2.1.4.2	COG1834	Inosamine-phosphate amidinotransferase 1
GFPBCAKN_00970	CDS	1248				hypothetical protein
GFPBCAKN_00971	CDS	1245				hypothetical protein
GFPBCAKN_00972	CDS	372				hypothetical protein
GFPBCAKN_00973	CDS	420		2.3.1.-		Acetyltransferase
GFPBCAKN_00974	CDS	1083	yscU			Yop proteins translocation protein U
GFPBCAKN_00975	CDS	798	spaR_2		COG4791	Surface presentation of antigens protein SpaR
GFPBCAKN_00976	CDS	261	spaQ_2		COG4794	Surface presentation of antigens protein SpaQ
GFPBCAKN_00977	CDS	654	spaP_2		COG4790	Surface presentation of antigens protein SpaP
GFPBCAKN_00978	CDS	1017				hypothetical protein
GFPBCAKN_00979	CDS	477				hypothetical protein
GFPBCAKN_00980	CDS	447				hypothetical protein
GFPBCAKN_00981	CDS	1365	hrcN	7.1.2.2	COG1157	Type III secretion ATP synthase HrcN
GFPBCAKN_00982	CDS	933				hypothetical protein
GFPBCAKN_00983	CDS	2148	mxiA		COG4789	Protein MxiA
GFPBCAKN_00984	CDS	1017				hypothetical protein
GFPBCAKN_00985	CDS	549				hypothetical protein
GFPBCAKN_00986	CDS	1485				hypothetical protein
GFPBCAKN_00987	CDS	642	uvrY_2		COG2197	Response regulator UvrY
GFPBCAKN_00988	CDS	975	norR_2			Anaerobic nitric oxide reductase transcription regulator NorR
GFPBCAKN_00989	CDS	609				hypothetical protein
GFPBCAKN_00990	CDS	228				hypothetical protein
GFPBCAKN_00991	CDS	363				hypothetical protein
GFPBCAKN_00992	CDS	783				hypothetical protein
GFPBCAKN_00993	CDS	591				hypothetical protein
GFPBCAKN_00994	CDS	591				hypothetical protein
GFPBCAKN_00995	CDS	225				hypothetical protein
GFPBCAKN_00996	CDS	432				hypothetical protein
GFPBCAKN_00997	CDS	2031	sctC_2			Type 3 secretion system secretin
GFPBCAKN_00998	CDS	195				hypothetical protein
GFPBCAKN_00999	CDS	351				hypothetical protein
GFPBCAKN_01000	CDS	1212	hrpN			Harpin HrpN
GFPBCAKN_01001	CDS	468				hypothetical protein
GFPBCAKN_01002	CDS	1206				hypothetical protein
GFPBCAKN_01003	CDS	333				hypothetical protein
GFPBCAKN_01004	CDS	1344				hypothetical protein
GFPBCAKN_01005	CDS	5517				hypothetical protein
GFPBCAKN_01006	CDS	420				hypothetical protein
GFPBCAKN_01007	CDS	801				hypothetical protein
GFPBCAKN_01008	CDS	636	clpV1_1		COG0542	Protein ClpV1
GFPBCAKN_01009	CDS	270				hypothetical protein
GFPBCAKN_01010	CDS	447				hypothetical protein
GFPBCAKN_01011	CDS	2763				hypothetical protein
GFPBCAKN_01012	CDS	717				hypothetical protein
GFPBCAKN_01013	CDS	195				hypothetical protein
GFPBCAKN_01014	CDS	2661				hypothetical protein
GFPBCAKN_01015	CDS	300				hypothetical protein
GFPBCAKN_01016	CDS	615				hypothetical protein
GFPBCAKN_01017	CDS	90				hypothetical protein
GFPBCAKN_01018	CDS	174				hypothetical protein
GFPBCAKN_01019	CDS	933				hypothetical protein
GFPBCAKN_01020	CDS	408				hypothetical protein
GFPBCAKN_01021	CDS	900				hypothetical protein
GFPBCAKN_01022	CDS	1404				hypothetical protein
GFPBCAKN_01023	CDS	1440				hypothetical protein
GFPBCAKN_01024	CDS	573	xerC_1		COG4973	Tyrosine recombinase XerC
GFPBCAKN_01025	tRNA	76				tRNA-Phe(gaa)
GFPBCAKN_01026	CDS	111				hypothetical protein
GFPBCAKN_01027	CDS	2145	speC	4.1.1.17	COG1982	Constitutive ornithine decarboxylase
GFPBCAKN_01028	CDS	654				hypothetical protein
GFPBCAKN_01029	CDS	1101	mltC	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase C
GFPBCAKN_01030	CDS	273	yggX		COG2924	putative Fe(2+)-trafficking protein
GFPBCAKN_01031	CDS	1077	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
GFPBCAKN_01032	CDS	720	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
GFPBCAKN_01033	CDS	327			COG3171	putative protein
GFPBCAKN_01034	CDS	717				hypothetical protein
GFPBCAKN_01035	CDS	1137	hemW		COG0635	Heme chaperone HemW
GFPBCAKN_01036	CDS	594	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
GFPBCAKN_01037	CDS	540				hypothetical protein
GFPBCAKN_01038	CDS	714	yggS		COG0325	Pyridoxal phosphate homeostasis protein
GFPBCAKN_01039	CDS	1134	yggR		COG2805	putative protein YggR
GFPBCAKN_01040	CDS	639				hypothetical protein
GFPBCAKN_01041	CDS	567	sigF		COG1595	ECF RNA polymerase sigma factor SigF
GFPBCAKN_01042	CDS	1239	dsbD_1	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
GFPBCAKN_01043	CDS	564	bcpB	1.11.1.15	COG1225	Putative peroxiredoxin
GFPBCAKN_01044	CDS	426	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
GFPBCAKN_01045	CDS	564				hypothetical protein
GFPBCAKN_01046	CDS	945	gshB	6.3.2.3	COG0189	Glutathione synthetase
GFPBCAKN_01047	CDS	732	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
GFPBCAKN_01048	CDS	714	nucM	3.1.21.-	COG2356	Nuclease NucM
GFPBCAKN_01049	CDS	699	sprT			Protein SprT
GFPBCAKN_01050	CDS	1398	galP			Galactose-proton symporter
GFPBCAKN_01051	CDS	1155	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
GFPBCAKN_01052	CDS	1977	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
GFPBCAKN_01053	CDS	462				hypothetical protein
GFPBCAKN_01054	CDS	924	speB	3.5.3.11	COG0010	Agmatinase
GFPBCAKN_01055	CDS	558				hypothetical protein
GFPBCAKN_01056	CDS	321				hypothetical protein
GFPBCAKN_01057	CDS	303				hypothetical protein
GFPBCAKN_01058	CDS	396				hypothetical protein
GFPBCAKN_01059	CDS	312				hypothetical protein
GFPBCAKN_01060	CDS	1668	tsr_2		COG0840	Methyl-accepting chemotaxis protein I
GFPBCAKN_01061	CDS	753	loiP	3.4.24.-	COG0501	Metalloprotease LoiP
GFPBCAKN_01062	CDS	1992	tktA	2.2.1.1	COG0021	Transketolase 1
GFPBCAKN_01063	CDS	1047	epd	1.2.1.72	COG0057	D-erythrose-4-phosphate dehydrogenase
GFPBCAKN_01064	CDS	1164	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
GFPBCAKN_01065	CDS	1080	fbaA	4.1.2.13	COG0191	Fructose-bisphosphate aldolase class 2
GFPBCAKN_01066	CDS	882	mscS		COG0668	Small-conductance mechanosensitive channel
GFPBCAKN_01067	CDS	618	argO		COG1279	Arginine exporter protein ArgO
GFPBCAKN_01068	CDS	393	lpxD_1	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
GFPBCAKN_01069	CDS	1446		1.18.1.2		Ferredoxin--NADP reductase
GFPBCAKN_01070	CDS	144				hypothetical protein
GFPBCAKN_01071	CDS	270				Sugar transporter SemiSWEET
GFPBCAKN_01072	CDS	1017	ntdC	1.1.1.361	COG0673	Glucose-6-phosphate 3-dehydrogenase
GFPBCAKN_01073	CDS	849	ntdB	3.1.3.92	COG0561	Kanosamine-6-phosphate phosphatase
GFPBCAKN_01074	CDS	1236	ntdA	2.6.1.104	COG0399	3-oxo-glucose-6-phosphate:glutamate aminotransferase
GFPBCAKN_01075	CDS	726			COG2968	26 kDa periplasmic immunogenic protein
GFPBCAKN_01076	CDS	900	argP_1		COG0583	HTH-type transcriptional regulator ArgP
GFPBCAKN_01077	CDS	660	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
GFPBCAKN_01078	CDS	174				hypothetical protein
GFPBCAKN_01079	CDS	1239	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
GFPBCAKN_01080	CDS	588	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
GFPBCAKN_01081	CDS	330	zapA		COG3027	Cell division protein ZapA
GFPBCAKN_01082	CDS	510				hypothetical protein
GFPBCAKN_01083	CDS	1317	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
GFPBCAKN_01084	CDS	1152	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
GFPBCAKN_01085	CDS	1203	ubiI	1.14.13.240	COG0654	2-octaprenylphenol hydroxylase
GFPBCAKN_01086	CDS	1098	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
GFPBCAKN_01087	CDS	387	gcvH		COG0509	Glycine cleavage system H protein
GFPBCAKN_01088	CDS	2862	gcvP	1.4.4.2	COG0403	Glycine dehydrogenase (decarboxylating)
GFPBCAKN_01089	CDS	693	ygfF	1.-.-.-		putative oxidoreductase YgfF
GFPBCAKN_01090	CDS	609	yfbR_1	3.1.3.89		5'-deoxynucleotidase YfbR
GFPBCAKN_01091	CDS	660				hypothetical protein
GFPBCAKN_01092	CDS	987	ygfZ		COG0354	tRNA-modifying protein YgfZ
GFPBCAKN_01093	CDS	267	sdhE		COG2938	FAD assembly factor SdhE
GFPBCAKN_01094	CDS	345	ygfX			Inner membrane protein YgfX
GFPBCAKN_01095	CDS	519	fldB		COG0716	Flavodoxin 2
GFPBCAKN_01096	CDS	954	ytfF			Inner membrane protein YtfF
GFPBCAKN_01097	CDS	1680				hypothetical protein
GFPBCAKN_01098	CDS	894	xerD		COG4974	Tyrosine recombinase XerD
GFPBCAKN_01099	CDS	705	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
GFPBCAKN_01100	CDS	1719	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
GFPBCAKN_01101	CDS	999	prfB		COG1186	Peptide chain release factor RF2
GFPBCAKN_01102	CDS	1521	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
GFPBCAKN_01103	CDS	624				hypothetical protein
GFPBCAKN_01104	CDS	1164	ydhP		COG2814	Inner membrane transport protein YdhP
GFPBCAKN_01105	CDS	921	occR			Octopine catabolism/uptake operon regulatory protein OccR
GFPBCAKN_01106	CDS	1254	lysA	4.1.1.20		Diaminopimelate decarboxylase
GFPBCAKN_01107	CDS	1005	galR		COG1609	HTH-type transcriptional regulator GalR
GFPBCAKN_01108	CDS	2277	dorA	1.7.2.3	COG0243	Dimethyl sulfoxide/trimethylamine N-oxide reductase
GFPBCAKN_01109	CDS	558	ail		COG3637	Attachment invasion locus protein
GFPBCAKN_01110	CDS	582				hypothetical protein
GFPBCAKN_01111	CDS	171				hypothetical protein
GFPBCAKN_01112	CDS	321				hypothetical protein
GFPBCAKN_01113	CDS	978				hypothetical protein
GFPBCAKN_01114	CDS	1395	hsrA			putative transport protein HsrA
GFPBCAKN_01115	CDS	1002	rbsR		COG1609	Ribose operon repressor
GFPBCAKN_01116	CDS	930	rbsK	2.7.1.15	COG0524	Ribokinase
GFPBCAKN_01117	CDS	882	rbsB		COG1879	Ribose import binding protein RbsB
GFPBCAKN_01118	CDS	972	rbsC_1		COG1172	Ribose import permease protein RbsC
GFPBCAKN_01119	CDS	1506	rbsA	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
GFPBCAKN_01120	CDS	420	rbsD	5.4.99.62	COG1869	D-ribose pyranase
GFPBCAKN_01121	CDS	1680	budB	2.2.1.6	COG0028	Acetolactate synthase, catabolic
GFPBCAKN_01122	CDS	783	budA	4.1.1.5		Alpha-acetolactate decarboxylase
GFPBCAKN_01123	CDS	882	catM_2			HTH-type transcriptional regulator CatM
GFPBCAKN_01124	CDS	402	ygiW		COG3111	Protein YgiW
GFPBCAKN_01125	CDS	3228				hypothetical protein
GFPBCAKN_01126	CDS	2655				hypothetical protein
GFPBCAKN_01127	CDS	6300				hypothetical protein
GFPBCAKN_01128	CDS	6255				hypothetical protein
GFPBCAKN_01129	CDS	1833	kup_1			Low affinity potassium transport system protein kup
GFPBCAKN_01130	CDS	1494	ravA	3.6.3.-	COG0714	ATPase RavA
GFPBCAKN_01131	CDS	1461	viaA		COG2425	Protein ViaA
GFPBCAKN_01132	CDS	2139	egtB	1.14.99.50		Hercynine oxygenase
GFPBCAKN_01133	CDS	462	asnC		COG1522	Regulatory protein AsnC
GFPBCAKN_01134	CDS	669				hypothetical protein
GFPBCAKN_01135	CDS	1890	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
GFPBCAKN_01136	CDS	627	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
GFPBCAKN_01137	CDS	381	atpI		COG3312	ATP synthase protein I
GFPBCAKN_01138	CDS	819	atpB		COG0356	ATP synthase subunit a
GFPBCAKN_01139	CDS	243	atpE		COG0636	ATP synthase subunit c
GFPBCAKN_01140	CDS	471	atpF		COG0711	ATP synthase subunit b
GFPBCAKN_01141	CDS	534	atpH		COG0712	ATP synthase subunit delta
GFPBCAKN_01142	CDS	1542	atpA	7.1.2.2		ATP synthase subunit alpha
GFPBCAKN_01143	CDS	870	atpG		COG0224	ATP synthase gamma chain
GFPBCAKN_01144	CDS	1383	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
GFPBCAKN_01145	CDS	420	atpC		COG0355	ATP synthase epsilon chain
GFPBCAKN_01146	CDS	1371	glmU		COG1207	Bifunctional protein GlmU
GFPBCAKN_01147	CDS	1830	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
GFPBCAKN_01148	CDS	294				hypothetical protein
GFPBCAKN_01149	CDS	246				hypothetical protein
GFPBCAKN_01150	CDS	318				hypothetical protein
GFPBCAKN_01151	CDS	1248	sacB	2.4.1.10		Levansucrase
GFPBCAKN_01152	CDS	99				hypothetical protein
GFPBCAKN_01153	CDS	1041	pstS_1		COG0226	Phosphate-binding protein PstS
GFPBCAKN_01154	CDS	963	pstC		COG0573	Phosphate transport system permease protein PstC
GFPBCAKN_01155	CDS	888	pstA		COG0581	Phosphate transport system permease protein PstA
GFPBCAKN_01156	CDS	771	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
GFPBCAKN_01157	CDS	735	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU
GFPBCAKN_01158	CDS	438				hypothetical protein
GFPBCAKN_01159	CDS	279				hypothetical protein
GFPBCAKN_01160	CDS	1314	adeP		COG2252	Adenine permease AdeP
GFPBCAKN_01161	CDS	744				hypothetical protein
GFPBCAKN_01162	CDS	1365	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
GFPBCAKN_01163	CDS	1647	yidC			Membrane protein insertase YidC
GFPBCAKN_01164	CDS	243	yidD		COG0759	Putative membrane protein insertion efficiency factor
GFPBCAKN_01165	CDS	327	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
GFPBCAKN_01166	CDS	141	rpmH		COG0230	50S ribosomal protein L34
GFPBCAKN_01167	CDS	1392	dnaA		COG0593	Chromosomal replication initiator protein DnaA
GFPBCAKN_01168	CDS	1101	dnaN		COG0592	Beta sliding clamp
GFPBCAKN_01169	CDS	1086	recF		COG1195	DNA replication and repair protein RecF
GFPBCAKN_01170	CDS	2409	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
GFPBCAKN_01171	CDS	810	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
GFPBCAKN_01172	CDS	1308	tolB_1			Tol-Pal system protein TolB
GFPBCAKN_01173	CDS	363				hypothetical protein
GFPBCAKN_01174	CDS	420	ibpA		COG0071	Small heat shock protein IbpA
GFPBCAKN_01175	CDS	1251	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
GFPBCAKN_01176	CDS	1179				hypothetical protein
GFPBCAKN_01177	CDS	210				hypothetical protein
GFPBCAKN_01178	CDS	966	tkrA	1.1.1.79		Glyoxylate/hydroxypyruvate reductase B
GFPBCAKN_01179	CDS	1287	ttuB			Putative tartrate transporter
GFPBCAKN_01180	CDS	954	kdgK	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
GFPBCAKN_01181	CDS	750				hypothetical protein
GFPBCAKN_01182	CDS	1590				hypothetical protein
GFPBCAKN_01183	CDS	258				hypothetical protein
GFPBCAKN_01184	CDS	1044	kdgR		COG1609	HTH-type transcriptional regulator KdgR
GFPBCAKN_01185	CDS	666	yiaD		COG2885	putative lipoprotein YiaD
GFPBCAKN_01186	CDS	564	tag_1	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
GFPBCAKN_01187	CDS	612	yibF		COG0625	putative GST-like protein YibF
GFPBCAKN_01188	CDS	909	fdhE		COG3058	Protein FdhE
GFPBCAKN_01189	CDS	858	fdhD		COG1526	Sulfur carrier protein FdhD
GFPBCAKN_01190	CDS	795	glcR		COG1349	HTH-type transcriptional repressor GlcR
GFPBCAKN_01191	CDS	1341	dgdA	4.1.1.64		2,2-dialkylglycine decarboxylase
GFPBCAKN_01192	CDS	618	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
GFPBCAKN_01193	CDS	1506	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
GFPBCAKN_01194	CDS	1008	rbsC_2		COG1172	Ribose import permease protein RbsC
GFPBCAKN_01195	CDS	1059				hypothetical protein
GFPBCAKN_01196	CDS	411				hypothetical protein
GFPBCAKN_01197	CDS	270				hypothetical protein
GFPBCAKN_01198	CDS	624				hypothetical protein
GFPBCAKN_01199	CDS	363	yibL			putative protein YibL
GFPBCAKN_01200	CDS	546	mtlR		COG3722	Mannitol operon repressor
GFPBCAKN_01201	CDS	1149	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
GFPBCAKN_01202	CDS	1932	mtlA		COG2213	PTS system mannitol-specific EIICBA component
GFPBCAKN_01203	CDS	717				hypothetical protein
GFPBCAKN_01204	CDS	294				hypothetical protein
GFPBCAKN_01205	CDS	1047	yahK_1	1.1.1.2	COG1064	Aldehyde reductase YahK
GFPBCAKN_01206	CDS	2070	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
GFPBCAKN_01207	CDS	954	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
GFPBCAKN_01208	CDS	186				hypothetical protein
GFPBCAKN_01209	CDS	996	wecH_1	2.3.1.-	COG3274	O-acetyltransferase WecH
GFPBCAKN_01210	CDS	453				hypothetical protein
GFPBCAKN_01211	CDS	1404	uxaB	1.1.1.58		Altronate oxidoreductase
GFPBCAKN_01212	CDS	276				hypothetical protein
GFPBCAKN_01213	CDS	1854	fokIM	2.1.1.72		Modification methylase FokI
GFPBCAKN_01214	CDS	1215				hypothetical protein
GFPBCAKN_01215	CDS	240				hypothetical protein
GFPBCAKN_01216	CDS	861	ramA	3.5.1.100		(R)-stereoselective amidase
GFPBCAKN_01217	CDS	249				hypothetical protein
GFPBCAKN_01218	CDS	621				hypothetical protein
GFPBCAKN_01219	CDS	468	ohrR			Organic hydroperoxide resistance transcriptional regulator
GFPBCAKN_01220	CDS	429	ohrB		COG1764	Organic hydroperoxide resistance protein OhrB
